,sport_id,stat_name,stat_value,full_name,last_name,american_price,decimal_price,choice,payout_multiplier,player_id,game_id,date,venue,is_home_game,walks,strikeouts,hist_batting_avg,hist_obp,games_played,hist_walks_per_game,hist_walk_rate,hist_walks_last_10,batting_position,pinch_status,hist_strikeouts_per_game,hist_k_rate,hist_ks_last_10,pitcher_id,pitcher_hist_era,pitcher_hist_whip,pitcher_hist_k_per_9,pitcher_hist_k_rate,pitcher_recent_k_per_9,pitcher_hist_bb_per_9,pitcher_hist_bb_rate,pitcher_recent_bb_per_9,pitcher_hist_k_bb_ratio,venue_is_dome,temperature
11,MLB,walks,0.5,Matt Olson,Olson,-228,1.44,under,0.7,621566,777783,2025-05-25,Truist Park,True,0,1,0.24666666666666667,0.10364963503649635,17,0.5294117647058824,0.10364963503649635,0.4,4,"3766    False
Name: batting_battingOrder, dtype: bool",1.1176470588235294,0.24817518248175183,1.4,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
12,MLB,batter_strikeouts,1.5,Matt Olson,Olson,+198,2.98,over,1.5,621566,777783,2025-05-25,Truist Park,True,0,1,0.24666666666666667,0.10364963503649635,17,0.5294117647058824,0.10364963503649635,0.4,4,"3766    False
Name: batting_battingOrder, dtype: bool",1.1176470588235294,0.24817518248175183,1.4,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
13,MLB,batter_strikeouts,1.5,Matt Olson,Olson,-250,1.4,under,0.67,621566,777783,2025-05-25,Truist Park,True,0,1,0.24666666666666667,0.10364963503649635,17,0.5294117647058824,0.10364963503649635,0.4,4,"3766    False
Name: batting_battingOrder, dtype: bool",1.1176470588235294,0.24817518248175183,1.4,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
14,MLB,walks,0.5,Eli White,White,+261,3.61,over,1.95,642201,777813,2025-05-23,Truist Park,False,0,0,0.28205128205128205,0.023809523809523808,12,0.16666666666666666,0.023809523809523808,0.2,5,"3633    False
Name: batting_battingOrder, dtype: bool",0.3333333333333333,0.2857142857142857,0.4,601713,4.139999999999999,1.1300000000000001,10.66115702479339,0.28907563025210087,10.66115702479339,2.231404958677686,0.06050420168067227,2.231404958677686,4.777777777777778,False,74.12
15,MLB,batter_strikeouts,0.5,Ozzie Albies,Albies,-137,1.73,over,0.88,645277,777783,2025-05-25,Truist Park,False,1,0,0.2506265664160401,0.06206896551724138,17,0.23529411764705882,0.06206896551724138,0.2,7,"3768    False
Name: batting_battingOrder, dtype: bool",0.7058823529411765,0.14942528735632185,0.9,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
16,MLB,batter_strikeouts,0.5,Ozzie Albies,Albies,+112,2.12,under,1.09,645277,777783,2025-05-25,Truist Park,False,1,0,0.2506265664160401,0.06206896551724138,17,0.23529411764705882,0.06206896551724138,0.2,7,"3768    False
Name: batting_battingOrder, dtype: bool",0.7058823529411765,0.14942528735632185,0.9,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
17,MLB,walks,0.5,Kyle Schwarber,Schwarber,-150,1.67,over,0.87,656941,777748,2025-05-27,Citizens Bank Park,True,1,1,0.24781849912739964,0.1531791907514451,15,0.8,0.1531791907514451,0.7,4,"3861    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.2846820809248555,0.5,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
18,MLB,walks,0.5,Kyle Schwarber,Schwarber,+108,2.08,under,1.11,656941,777748,2025-05-27,Citizens Bank Park,True,1,1,0.24781849912739964,0.1531791907514451,15,0.8,0.1531791907514451,0.7,4,"3861    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.2846820809248555,0.5,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
19,MLB,batter_strikeouts,1.5,Kyle Schwarber,Schwarber,+185,2.85,over,1.43,656941,777748,2025-05-27,Citizens Bank Park,True,1,1,0.24781849912739964,0.1531791907514451,15,0.8,0.1531791907514451,0.7,4,"3861    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.2846820809248555,0.5,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
20,MLB,batter_strikeouts,1.5,Kyle Schwarber,Schwarber,-233,1.43,under,0.68,656941,777748,2025-05-27,Citizens Bank Park,True,1,1,0.24781849912739964,0.1531791907514451,15,0.8,0.1531791907514451,0.7,4,"3861    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.2846820809248555,0.5,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
